Date,oi,oi_chg,VSTD,VOSC,VMACD,VMA,VHF,TRIX,SRMI,SOBV,WR,SI,SAR,ROC,RSI,RC,PVT,PRICEOSC,MTM,MIKE,MACD,MA,slowKD,KDJ,EXPMA,ENV,DPO,DMI_2,DMA,CCI,BIAS,ADTM,end,begin,highest,lowest,closing_price_down,swing,contract_volume,contract_position,one,two,three,all_v,all_p,delta
1991/2/13,53545,-9194,58.18992896,-11.23000096,-6.335601956,341.402,0.384229179,-0.774785731,0.045212766,558192,20,-1.87768595,23.68406928,7.633587786,58.05291824,77.39279588,35754.051,-7.01857641,1.9,24.55333333,-0.940985179,22.22,81.1275925,75.01157507,22.11260739,22.896,-2.2665,25.59121622,-3.207,158.6340706,4.087046791,0.199827735,22.56,22.42,22.95,22.22,-1.613606629,3.183602268,28943,53545,1.79,2.78,3.51,68100,247500,-0.08
1991/2/14,47897,-5648,60.6427103,-7.443555624,-11.28025116,321.896,0.414992026,-0.690513043,0.04390681,532162,29.79591837,-1.886315789,23.44066236,2.151029748,53.65135644,72.79843444,35477.13611,-5.950497154,0.83,24.04,-0.854738434,22.44,85.93086666,73.40907726,22.14451395,22.96944286,-2.2305,26.6022827,-2.9622,93.42763664,2.793982192,-0.201469045,22.32,22.4,22.48,22.16,-1.063829787,1.418439716,26030,47897,1.83,2.73,3.41,66837,245247,-0.62
1991/2/19,54034,771,49.97136662,-6.120409258,-2.948110581,333.0633333,0.385018945,-0.674841448,-0.090513069,530295,89.68421053,-7.694463277,22.74700459,-10.39580353,22.83432118,71.17424242,29503.10136,-4.814233386,-2.43,19.16,-1.19776432,21.108,53.10642067,36.27904314,21.21127922,22.58481429,-5.3855,17.0487106,-3.118,-223.9712884,-11.84611776,-0.128293242,20.07,20.5,21.15,19.85,-3.879310345,6.22605364,42951,40869,1.28,2.13,2.59,114910,240298,0.23
1991/2/20,57150,3116,38.5870692,-5.368986468,-0.892116261,332.395,0.381571346,-0.694400116,-0.090274546,565734,73.68421053,13.05869947,22.12442394,-9.238625812,34.41515278,73.55154251,30936.50423,-3.512252148,-2.37,20.43333333,-1.241564735,20.432,30.02745533,32.95795859,20.9556978,22.4773,-4.3,18.92296185,-3.0884,-127.8389724,-7.634158825,0.225030084,20.48,20.25,20.95,20.2,2.042850025,3.736920777,30973,38789,0.93,1.91,2.41,93182,248731,-0.4
1991/2/21,57269,119,38.07531126,-1.651329345,1.780268078,334.11,0.382978723,-0.732695224,-0.128180961,528977,95.78947368,-8.698181818,21.58900459,-13.30834114,27.55829853,68.7732342,28962.34311,-2.474943,-3.97,19.43333333,-1.345493097,19.62,17.76902957,23.37548116,20.57789814,22.24712857,-5.0245,18.60129776,-3.2194,-124.9885209,-11.6769445,0.501805054,18.5,18.9,19.7,18.4,-9.66796875,6.34765625,36757,57269,0.66,0.99,1.12,73308,240391,-0.69
1991/2/22,61314,4045,55.80981779,1.859697423,13.29475418,366.8583333,0.435548686,-0.787647265,-0.182937956,480385,94.48529412,-17.44073394,21.12854395,-15.27909177,24.29447483,67.81522151,27412.6523,-0.992635683,-5.02,18.53666667,-1.458650725,18.738,12.71984014,17.4218894,20.16745227,21.98742857,-5.326,16.83029453,-3.3804,-131.7068273,-13.54786806,0.394705174,17.91,18.6,18.7,17.61,-3.189189189,5.891891892,48592,61314,0.39,0.56,0.56,93867,228388,0.29
1991/2/25,59662,-1652,55.84770794,1.814502742,11.13528028,382.538,0.444900537,-0.846961801,-0.201602136,515151,91.25,-4.064772118,20.56557692,-13.16553727,24.83763165,70.76923077,27470.8868,-1.949052784,-4.62,18.39,-1.528291023,18.538,10.59537324,14.5312596,19.8247673,21.74514286,-4.9715,16.49484536,-3.6302,-110.9452736,-12.14854111,0.202743902,17.94,17.65,18.37,17.45,0.167504188,5.136795087,34766,59662,0.39,0.54,0.57,64176,231090,0.12
1991/2/26,61008,1346,61.92525107,2.202428225,2.79751263,364.296,0.166390454,-0.896071359,-0.198866114,541745,83.57142857,6.22610245,20.00477307,-14.51838064,33.09403574,69.53065859,28108.31267,-3.030553262,-3.95,19.21,-1.531134094,18.454,9.50091472,15.26326398,19.60095695,21.57175714,-4.273,17.49654219,-3.8792,-79.04801983,-8.984310487,0.157809984,18.37,18.25,18.5,18.12,2.396878484,2.118171683,26594,61008,0.36,0.58,0.67,61880,232009,0.14
1991/2/27,60146,-862,63.47939553,4.346911981,-1.189370998,353.068,0.260238466,-0.925245311,-0.164007092,571570,74.82142857,7.457078652,19.54491392,-11.12158341,41.83153161,71.03578154,28903.86248,-4.067138014,0.07,20.19666667,-1.476824431,18.316,11.4418103,19.5194457,19.48696357,21.37262857,-3.3675,18.82519462,-4.1324,-52.26206568,-5.360876474,0.306886228,18.86,18.72,18.98,18.63,2.667392488,1.905280348,29825,60146,0.36,0.67,0.81,70539,234491,-0.14
1991/2/28,58760,-1386,63.5044021,4.242512051,-2.388104655,343.996,0.279665738,-0.93245282,-0.141577061,539349,69.46428571,4.186519337,19.5,-12.59124088,46.92398302,70.83179298,29416.39164,-4.995449786,-0.39,21.03666667,-1.393512593,18.448,22.27890471,36.7629638,19.43666149,21.21665714,-2.7105,21.03004292,-4.3146,-31.13937292,-2.506042488,0.339514979,19.16,19.3,19.5,19.07,1.590668081,2.279957582,32221,58760,0.4,0.74,0.92,87734,235352,0.33
1991/3/1,57092,-1668,69.87776682,3.121302425,-10.438872,293.356,0.298099762,-0.918867983,0.022703818,562621,65.53571429,2.928192771,18.12,-13.75166889,50.72052341,71.9910847,29683.60667,-6.071584692,0.88,21.00333333,-1.294809442,18.742,39.39752785,53.10123513,19.42794433,21.02434286,-2.0185,20.14492754,-4.4578,-26.92551076,0.120544171,0.353780314,19.38,19.05,19.45,18.85,1.14822547,3.131524008,23272,57092,0.27,0.54,0.71,51499,239156,0.45
1991/3/4,55018,-2074,74.59218715,5.149332281,-0.567776644,310.632,0.310835913,-0.875339748,0.072098765,606025,50,14.13953488,18.1476,-11.68774531,63.2089924,75.19494987,31632.08345,-6.844036513,2.34,22.73666667,-1.133320542,19.204,61.51773183,67.25520339,19.55441444,20.85625714,-1.233,22.01438849,-4.1932,21.63683679,5.665956429,0.422680412,20.25,19.8,20.38,19.65,4.489164087,3.766769866,43404,55018,0.37,0.71,0.95,99137,237358,0.43
1991/3/5,54426,-592,75.70056066,6.50132253,3.490178709,335.02,0.310451453,-0.809593181,0.043073911,644813,46.78571429,5.014039735,18.236896,-9.441489362,65.38679931,77.41568776,31976.86567,-7.543237191,2.49,23.25,-0.97952359,19.616,79.05977847,75.68566355,19.68911991,20.66697143,-1.0505,21.61172161,-3.91,53.67397546,7.488600491,0.367231638,20.43,20,20.67,19.95,0.888888889,3.555555556,38788,54426,0.41,0.76,1.04,91667,239715,-0.97
1991/3/6,54665,239,82.08404714,7.619265979,11.55564027,365.296,0.303506651,-0.743140852,0.062341612,599850,58.54545455,-10.11658402,18.38288224,-11.60394265,51.23399013,76.11882716,30436.2832,-6.923984392,1.36,22.65,-0.903705197,19.79,87.07545024,73.48741206,19.69540915,20.4527,-1.674,21.64285714,-3.7682,60.7524798,3.44737187,0.437017995,19.73,20.7,20.75,19.67,-3.426333823,5.286343612,44963,54665,0.22,0.49,0.71,100753,243465,-0.16
1991/3/7,53835,-830,82.0311941,5.969772045,10.425553,372.434,0.304426925,-0.683068765,0.077754892,564060,60.83499006,-10.70394822,18.57225166,3.352847259,45.9486796,74.92283951,29873.94665,-6.141779789,0.56,21.75,-0.858734033,19.842,83.60251079,68.89059794,19.65303851,20.23312857,-1.8675,21.21848739,-3.5462,53.17664484,1.54248366,0.357938719,19.42,19.58,20.03,19.35,-1.571211353,3.44652813,35790,53835,0.26,0.57,0.78,77254,242752,-0.02
